railway,station,x,y,tokyo
指宿枕崎線,二月田,-878268,-489524,983642
沖縄都市モノレール線,古島,-1217529,-1025513,1565010
東京臨海新交通臨海線,お台場海浜公園,-4963,-41069,6429
東京臨海新交通臨海線,船の科学館,-5454,-41982,7271
東京臨海新交通臨海線,テレコムセンター,-4861,-42409,7768
東京臨海新交通臨海線,汐留,-6632,-37387,2708
東京臨海新交通臨海線,台場,-5612,-41505,6784
東京臨海新交通臨海線,有明,-3622,-40543,6303
東京臨海新交通臨海線,国際展示場正門,-3807,-41025,6684
東京臨海新交通臨海線,新橋,-6658,-37120,2453
東京臨海新交通臨海線,竹芝,-6457,-38377,3660
東京臨海新交通臨海線,芝浦ふ頭,-6833,-39691,5011
東京臨海新交通臨海線,日の出,-6716,-38910,4222
東京臨海新交通臨海線,青海,-4711,-41625,7021
東京臨海新交通臨海線,新豊洲,-3913,-38972,4755
東京臨海新交通臨海線,市場前,-4318,-39307,4896
東京臨海新交通臨海線,有明テニスの森,-4024,-39941,5593
東京臨海新交通臨海線,豊洲,-3431,-38418,4532
けいはんな線,新石切,-384293,-138415,392171
けいはんな線,長田,-388781,-138376,396491
けいはんな線,吉田,-385788,-138326,393589
けいはんな線,荒本,-387586,-138441,395355
けいはんな線,生駒,-378984,-137189,386727
けいはんな線,学研奈良登美ヶ丘,-374148,-133685,381141
けいはんな線,白庭台,-377136,-134159,384149
けいはんな線,学研北生駒,-376514,-133760,383446
ポートアイランド線,ポートターミナル,-424519,-136498,430640
ポートアイランド線,中埠頭,-423209,-137913,429705
ポートアイランド線,市民広場,-423666,-138379,430260
ポートアイランド線,貿易センター,-424731,-135608,430637
ポートアイランド線,三宮,-425087,-135019,430845
ポートアイランド線,北埠頭,-423432,-137426,429804
ポートアイランド線,南公園,-423242,-138425,429860
ポートアイランド線,みなとじま,-423869,-137907,430344
ポートアイランド線,中公園,-424075,-137449,430435
ポートアイランド線,医療センター,-423334,-139105,430114
ポートアイランド線,京コンピュータ前,-422883,-139539,429781
ポートアイランド線,神戸空港,-422289,-141509,429691
富山港線,岩瀬浜,-232082,87618,257002
富山港線,競輪場前,-232108,87199,256825
富山港線,東岩瀬,-232432,86592,256823
富山港線,インテック本社前,-233837,81263,255600
富山港線,大広田,-232605,86254,256817
富山港線,蓮町,-232721,85519,256574
富山港線,犬島新町,-232829,84731,256300
富山港線,城川原,-232888,84292,256149
富山港線,越中中島,-233023,83303,255810
富山港線,粟島（大阪屋ショップ前）,-233039,82965,255668
富山港線,下奥井,-233081,82164,255338
富山港線,奥田中学校前,-233194,81239,255017
富山港線,富山駅北,-234091,81151,255776
いわて銀河鉄道線,盛岡,111745,411580,461606
いわて銀河鉄道線,御堂,119851,445369,496346
いわて銀河鉄道線,二戸,123565,473802,524803
いわて銀河鉄道線,小鳥谷,125580,463979,515801
いわて銀河鉄道線,渋民,113058,426429,476306
いわて銀河鉄道線,斗米,123939,476659,527665
いわて銀河鉄道線,いわて沼宮内,118221,440483,491206
いわて銀河鉄道線,厨川,111032,416332,466023
いわて銀河鉄道線,岩手川口,116778,435869,486377
いわて銀河鉄道線,一戸,124629,468297,519737
いわて銀河鉄道線,金田一温泉,124968,480849,531978
いわて銀河鉄道線,滝沢,112716,422455,472373
いわて銀河鉄道線,小繋,121635,458585,509585
いわて銀河鉄道線,奥中山高原,119013,452219,502766
いわて銀河鉄道線,目時,123702,484046,534770
いわて銀河鉄道線,好摩,114657,430830,480967
いわて銀河鉄道線,青山,110160,414166,463707
いわて銀河鉄道線,巣子,112670,420734,470696
いすみ線,上総中野,33330,-83139,62414
いすみ線,大多喜,37339,-79075,62054
いすみ線,東総元,37696,-82079,64476
いすみ線,上総中川,40681,-79485,64719
いすみ線,国吉,43723,-79724,67110
いすみ線,久我原,37704,-83102,65237
いすみ線,上総東,46545,-81611,70471
いすみ線,西畑,34746,-83080,63273
いすみ線,小谷松,38002,-81020,63914
いすみ線,総元,37044,-84175,65600
いすみ線,西大原,49556,-81903,72935
いすみ線,新田野,45048,-80210,68420
いすみ線,大原,50750,-82951,74523
三国芦原線,西長田,-326408,23139,325519
三国芦原線,鷲塚針原,-326698,19443,325168
三国芦原線,西別院,-325246,14388,322929
三国芦原線,中角,-326810,17321,324932
三国芦原線,新田塚,-326770,16370,324742
三国芦原線,番田,-326520,29697,326859
三国芦原線,福井口,-324323,13935,321949
三国芦原線,三国,-331231,30362,331609
三国芦原線,太郎丸,-326572,20672,325252
三国芦原線,福大前西福井,-326408,14336,324070
三国芦原線,大関,-326515,26817,326298
三国芦原線,三国神社,-330486,30108,330828
三国芦原線,水居,-329211,30540,329663
三国芦原線,あわら湯のまち,-327261,30884,327821
三国芦原線,西春江,-326493,21510,325318
三国芦原線,田原町,-325729,14376,323405
三国芦原線,下兵庫,-326690,24988,326130
三国芦原線,三国港,-332081,30748,332518
三国芦原線,本荘,-326496,28817,326663
勝山永平寺線,志比堺,-317223,16596,315354
勝山永平寺線,越前竹原,-308124,13621,305896
勝山永平寺線,保田,-304659,13054,302384
勝山永平寺線,山王,-309958,14263,307808
勝山永平寺線,勝山,-301058,11374,298566
勝山永平寺線,越前野中,-311347,14731,309254
勝山永平寺線,松岡,-318074,16211,316132
勝山永平寺線,発坂,-303341,13305,301123
勝山永平寺線,光明寺,-314238,15449,312223
勝山永平寺線,永平寺口,-315813,16327,313919
