station,x,y,tokyo
大手町,-6075,-34737,1
東京,-6203,-35285,563
三越前,-5453,-34953,658
神田,-5652,-34194,687
新日本橋,-5343,-34498,769
二重橋前,-6476,-35443,813
日本橋,-5430,-35292,850
竹橋,-6847,-34341,868
淡路町,-5962,-33850,893
小川町,-6015,-33812,926
新御茶ノ水,-6143,-33622,1116
神保町,-6779,-33843,1137
京橋,-5723,-35866,1182
小伝馬町,-4939,-34344,1201
岩本町,-5262,-33773,1260
有楽町,-6431,-35946,1261
日比谷,-6625,-35874,1263
宝町,-5543,-35979,1351
銀座一丁目,-6024,-36108,1372
茅場町,-4893,-35462,1386
御茶ノ水,-6181,-33325,1415
秋葉原,-5440,-33468,1418
人形町,-4630,-34797,1445
銀座,-6287,-36259,1536
馬喰横山,-4562,-34169,1615
八丁堀,-5069,-36014,1626
馬喰町,-4606,-34017,1635
桜田門,-7372,-35781,1665
九段下,-7440,-33779,1667
東日本橋,-4393,-34194,1766
水天宮前,-4359,-35168,1769
末広町,-5571,-32973,1834
霞ヶ関,-7301,-36138,1862
東銀座,-5992,-36649,1914
新富町,-5408,-36551,1933
浜町,-4091,-34548,1992
水道橋,-7202,-33058,2021
浅草橋,-4420,-33571,2023
築地,-5509,-36840,2177
内幸町,-7061,-36700,2197
半蔵門,-8294,-34901,2225
湯島,-5732,-32526,2236
本郷三丁目,-6621,-32534,2269
新橋,-6773,-36899,2272
国会議事堂前,-7953,-36061,2298
虎ノ門,-7533,-36590,2358
仲御徒町,-5170,-32543,2372
御徒町,-5304,-32483,2381
上野広小路,-5458,-32420,2397
飯田橋,-7855,-33124,2402
上野御徒町,-5453,-32398,2419
永田町,-8288,-35731,2426
築地市場,-6028,-37168,2432
汐留,-6524,-37173,2477
麹町,-8687,-34967,2622
両国,-3618,-33753,2645
新御徒町,-4653,-32505,2646
後楽園,-7462,-32469,2658
市ヶ谷,-8683,-34227,2658
春日,-7344,-32337,2714
溜池山王,-8331,-36265,2725
京成上野,-5412,-32027,2789
赤坂見附,-8688,-35848,2840
蔵前,-3844,-32933,2868
上野,-5221,-31968,2896
森下,-3180,-34608,2897
月島,-4429,-37197,2959
清澄白河,-3138,-35175,2969
門前仲町,-3459,-36304,3049
上野動物園西園,-5758,-31693,3059
稲荷町,-4625,-32018,3080
牛込神楽坂,-8804,-33177,3143
赤坂,-8773,-36373,3156
御成門,-7409,-37609,3167
越中島,-3697,-36832,3169
四ツ谷,-9304,-34870,3232
上野動物園東園,-5730,-31519,3235
勝どき,-5086,-37836,3253
神谷町,-8022,-37426,3320
田原町,-3893,-32182,3359
根津,-6114,-31359,3377
神楽坂,-8941,-32850,3431
六本木一丁目,-8549,-37154,3459
大門,-7028,-38086,3483
東大前,-6826,-31282,3535
モノレール浜松町,-6941,-38190,3560
浜松町,-6900,-38227,3586
菊川,-2462,-34569,3616
竹芝,-6457,-38377,3660
浅草,-3324,-32285,3684
江戸川橋,-8976,-32247,3822
牛込柳町,-9786,-33338,3966
鶯谷,-5003,-30901,3982
曙橋,-10023,-34128,3995
芝公園,-7571,-38444,3997
白山,-7339,-30913,4026
六本木,-9239,-37265,4050
赤羽橋,-8071,-38275,4062
入谷,-4421,-31000,4085
青山一丁目,-9890,-36278,4115
信濃町,-10159,-35502,4155
木場,-2373,-36683,4181
日の出,-6716,-38910,4222
本所吾妻橋,-2603,-32328,4224
四谷三丁目,-10318,-34627,4245
乃木坂,-9696,-36984,4262
茗荷谷,-8725,-31371,4284
本駒込,-7194,-30577,4307
千駄木,-6335,-30424,4319
麻布十番,-8803,-38106,4335
豊洲,-3380,-38258,4433
住吉,-1598,-34536,4480
錦糸町,-1720,-33647,4488
早稲田,-10057,-32647,4497
日暮里,-5640,-30253,4504
若松河田,-10420,-33370,4555
三田,-7646,-39033,4574
とうきょうスカイツリー,-2166,-32122,4702
国立競技場,-10722,-35511,4711
外苑前,-10456,-36564,4747
新豊洲,-3913,-38972,4755
田町,-7763,-39299,4865
市場前,-4318,-39307,4896
押上,-1893,-32149,4917
千石,-8013,-30177,4954
千駄ヶ谷,-11025,-35362,4989
新宿御苑前,-11079,-34549,5008
芝浦ふ頭,-6833,-39691,5011
西日暮里,-6020,-29722,5014
護国寺,-9579,-31150,5014
東陽町,-1417,-36657,5038
三ノ輪,-3814,-30033,5218
三河島,-5089,-29578,5251
新宿三丁目,-11475,-34292,5419
表参道,-10942,-37155,5434
東新宿,-11370,-33509,5435
西大島,-634,-34465,5447
面影橋,-10736,-31850,5482
新大塚,-9406,-30379,5484
三ノ輪橋,-3783,-29708,5526
潮見,-1463,-37847,5562
